name,type,producer,brand,potency,thc_min,thc_max,cbd_min,cbd_max,price,price_per_gram,grams
Island Honey,Sativa Dominant,Pure Sunfarms,Pure Sunfarms,4,16.0,19.0,0.0,1.99,22.95,6.56,3.5
Island Honey,Sativa Dominant,Pure Sunfarms,Pure Sunfarms,4,16.0,19.0,0.0,1.99,42.70,6.10,7
Balanced,Hybrid,Canopy Growth,TWD.,3,7.0,13.0,5.0,11.0,21.50,6.14,3.5
Balanced,Hybrid,Canopy Growth,TWD.,3,7.0,13.0,5.0,11.0,40.00,5.71,7
Grower's Choice Hybrid,Hybrid,Aphria,Good Supply,5,16.0,23.0,0.0,2.0,21.50,6.14,3.5
Sky Pilot,Indica Dominant,Tantalus Labs,Tantalus Labs,5,18.0,24.0,0.0,1.0,29.95,8.56,3.5
Sky Pilot,Indica Dominant,Tantalus Labs,Tantalus Labs,5,18.0,24.0,0.0,1.0,92.95,6.20,15
Flicker Buds,Indica Dominant,Organigram,Trailblazer,4,15.0,19.0,0.0,1.0,21.95,6.27,3.5
Flicker Buds,Indica Dominant,Organigram,Trailblazer,4,15.0,19.0,0.0,1.0,40.80,5.83,7
Flicker Buds,Indica Dominant,Organigram,Trailblazer,4,15.0,19.0,0.0,1.0,74.95,5.00,15
Spark Buds,Sativa Dominant,Organigram,Trailblazer,4,15.0,19.0,0.0,1.0,21.95,6.27,3.5
Spark Buds,Sativa Dominant,Organigram,Trailblazer,4,15.0,19.0,0.0,1.0,40.80,5.83,7
Spark Buds,Sativa Dominant,Organigram,Trailblazer,4,15.0,19.0,0.0,1.0,74.95,5.00,15
Pedro's Sweet Sativa Ready To Roll,Sativa Dominant,WeedMD,Color Cannabis,5,15.0,21.0,0.0,1.0,22.50,6.43,3.5
Ghost Train Haze Ready To Roll,Sativa Dominant,WeedMD,Color Cannabis,5,18.0,24.0,0.0,1.0,22.50,6.43,3.5
Platinum Cookies,Sativa Dominant,Sundial Growers,Palmetto,5,20.0,26.0,1.0,1.0,22.95,6.56,3.5
Blue Dream,Sativa Dominant,Pure Sunfarms,Pure Sunfarms,4,16.0,19.0,0.0,1.0,22.95,6.56,3.5
Pine Kush,Indica Dominant,Kolab Project,Back Forty,5,18.0,24.0,0.0,1.0,22.95,6.56,3.5
Pine Kush,Indica Dominant,Kolab Project,Back Forty,5,18.0,24.0,0.0,1.0,124.95,4.46,28
Headband,Sativa Dominant,Sundial Growers,Palmetto,5,17.0,22.0,0.0,1.0,22.95,6.56,3.5
Nuken,Indica Dominant,Sundial Growers,Palmetto,5,17.0,22.0,0.0,1.0,22.95,6.56,3.5
Headband,Hybrid,Pure Sunfarms,Pure Sunfarms,5,17.0,23.0,0.0,1.99,22.95,6.56,3.5
Headband,Hybrid,Pure Sunfarms,Pure Sunfarms,5,17.0,23.0,0.0,1.99,42.70,6.10,7
Pure Sun CBD,Hybrid,Pure Sunfarms,Pure Sunfarms,1,0.0,1.0,14.0,20.0,22.95,6.56,3.5
Pure Sun CBD,Hybrid,Pure Sunfarms,Pure Sunfarms,1,0.0,1.0,14.0,20.0,42.70,6.10,7
Mango Haze,Sativa Dominant,WeedMD,Color Cannabis,2,4.0,10.0,6.0,12.0,27.50,7.86,3.5
Mango Haze,Sativa Dominant,WeedMD,Color Cannabis,2,4.0,10.0,6.0,12.0,98.95,6.60,15
Black Sugar Rose,Indica Dominant,WeedMD,Color Cannabis,5,18.0,24.0,0.0,1.0,27.50,7.86,3.5
Black Sugar Rose,Indica Dominant,WeedMD,Color Cannabis,5,18.0,24.0,0.0,1.0,98.95,6.60,15
Pedro's Sweet Sativa,Sativa Dominant,WeedMD,Color Cannabis,5,16.0,22.0,0.0,1.0,27.50,7.86,3.5
Pedro's Sweet Sativa,Sativa Dominant,WeedMD,Color Cannabis,5,16.0,22.0,0.0,1.0,98.95,6.60,15
Ghost Train Haze,Sativa Dominant,WeedMD,Color Cannabis,5,17.0,23.0,0.0,1.0,27.50,7.86,3.5
Ghost Train Haze,Sativa Dominant,WeedMD,Color Cannabis,5,17.0,23.0,0.0,1.0,98.95,6.60,15
Sinaloa Gold,Sativa Dominant,Delta 9 Bio-Tech,Delta 9,5,17.0,23.0,0.0,1.0,23.50,6.71,3.5
White Out,Sativa Dominant,Delta 9 Bio-Tech,Delta 9,5,16.0,23.0,0.0,1.0,23.50,6.71,3.5
Orange Monkey,Indica Dominant,Canntrust,Liiv,5,19.0,25.0,0.0,10.0,23.95,6.84,3.5
Indica,Indica Dominant,Aphria,Papa's Herb,5,17.0,23.0,0.0,1.0,23.95,6.84,3.5
Sativa,Sativa Dominant,Aphria,Papa's Herb,5,18.0,24.0,0.0,1.0,23.95,6.84,3.5
Bali Kush,Indica Dominant,Canntrust,liiv,5,16.0,22.0,0.0,2.0,23.95,6.84,3.5
Royal Highness,Hybrid,Aphria,Good Supply,5,17.0,24.0,0.0,1.0,7.20,7.20,1
Royal Highness,Hybrid,Aphria,Good Supply,5,17.0,24.0,0.0,1.0,23.95,6.84,3.5
Royal Highness,Hybrid,Aphria,Good Supply,5,17.0,24.0,0.0,1.0,44.55,6.36,7
Royal Highness,Hybrid,Aphria,Good Supply,5,17.0,24.0,0.0,1.0,86.25,5.75,15
Royal Highness,Hybrid,Aphria,Good Supply,5,17.0,24.0,0.0,1.0,147.25,5.26,28
Free,Sativa Dominant,Aphria,Solei,1,0.3,1.0,11.0,17.0,7.20,7.20,1
Free,Sativa Dominant,Aphria,Solei,1,0.3,1.0,11.0,17.0,23.95,6.84,3.5
Free,Sativa Dominant,Aphria,Solei,1,0.3,1.0,11.0,17.0,44.55,6.36,7
Granddaddy Purple,Indica Dominant,Delshen Therapeutics,48North,5,17.0,23.2,0.0,1.0,24.50,7.00,3.5
Sense,Hybrid,Aphria,Solei,5,17.0,23.0,0.0,1.0,8.50,8.50,1
Sense,Hybrid,Aphria,Solei,5,17.0,23.0,0.0,1.0,26.50,7.57,3.5
Sense,Hybrid,Aphria,Solei,5,17.0,23.0,0.0,1.0,49.30,7.04,7
Unplug,Hybrid,Aphria,Solei,5,15.0,21.0,0.0,1.0,8.50,8.50,1
Unplug,Hybrid,Aphria,Solei,5,15.0,21.0,0.0,1.0,26.50,7.57,3.5
Unplug,Hybrid,Aphria,Solei,5,15.0,21.0,0.0,1.0,49.30,7.04,7
Green Cush,Sativa Dominant,High Park,Canaca,5,20.0,26.0,0.0,0.1,26.50,7.57,3.5
Green Cush,Sativa Dominant,High Park,Canaca,5,20.0,26.0,0.0,0.1,49.40,7.06,7
Strawberry Ice,Sativa Dominant,Maricann Group,Northern Harvest,5,15.0,21.0,0.0,4.0,7.50,7.50,1
Strawberry Ice,Sativa Dominant,Maricann Group,Northern Harvest,5,15.0,21.0,0.0,4.0,24.90,7.11,3.5
Mango Haze,Sativa Dominant,Maricann Group,Kiwi Cannabis,2,4.0,10.0,6.0,13.0,7.50,7.50,1
Mango Haze,Sativa Dominant,Maricann Group,Kiwi Cannabis,2,4.0,10.0,6.0,13.0,24.90,7.11,3.5
Cali-O,Hybrid,Maricann Group,Kiwi Cannabis,2,5.0,9.0,6.0,12.0,7.50,7.50,1
Cali-O,Hybrid,Maricann Group,Kiwi Cannabis,2,5.0,9.0,6.0,12.0,24.90,7.11,3.5
HiFi 4G,Hybrid,AB Laboratories,Steel City Green,5,18.0,23.0,0.0,1.0,24.95,7.13,3.5
HiFi 4G,Hybrid,AB Laboratories,Steel City Green,5,18.0,23.0,0.0,1.0,61.30,8.76,7
Glueberry OG,Hybrid,AB Laboratories,Steel City Green,5,17.0,22.0,0.0,1.0,24.95,7.13,3.5
Glueberry OG,Hybrid,AB Laboratories,Steel City Green,5,17.0,22.0,0.0,1.0,61.30,8.76,7
Lemon Ziddy,Hybrid,AB Laboratories,Steel City Green,5,18.0,23.0,0.0,1.0,24.95,7.13,3.5
Lemon Ziddy,Hybrid,AB Laboratories,Steel City Green,5,18.0,23.0,0.0,1.0,61.30,8.76,7
Rockstar,Indica Dominant,Muskoka Grown Limited,Muskoka Grown,5,20.0,24.0,0.0,5.0,99.95,7.14,14
Hindu Kush,Indica Dominant,Canopy Growth,Tweed,5,18.0,24.0,0.0,0.5,8.10,8.10,1
Hindu Kush,Indica Dominant,Canopy Growth,Tweed,5,18.0,24.0,0.0,0.5,26.95,7.70,3.5
